offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
9052162590241834497	2018-03-07T00:00:00+03:00	2018-03-14T00:00:00+03:00	16000.0	3	False	1	False	32.0				11.0	2	2	Россия, Санкт-Петербург, Красное Село, проспект Ленина, 61к2	8355764348045573137
3397276038903424769	2017-08-08T00:00:00+03:00	2018-08-20T00:00:00+03:00	3151200.0	5	False	2	False	60.6	11.0	31.9		7.0	1	2	Россия, Ленинградская область, Всеволожский район, Романовское сельское поселение, поселок Романовка, 9	8527330610967456855
8338419857510732166	2017-08-23T00:00:00+03:00	2017-09-22T00:00:00+03:00	23000.0	2	False	2	False	46.0	6.0	28.0	100.0	11.0	2	2	Россия, Санкт-Петербург, Будапештская улица, 23к1	5729094119176850052
9174606537143933660	2015-10-20T00:00:00+03:00	2016-11-10T00:00:00+03:00	14900000.0	6	False	3	False	112.0	18.4	55.4		0.0	1	2	Россия, Санкт-Петербург, Нейшлотский переулок, 11к1	2428262330049770184
1254779597869073408	2017-02-27T00:00:00+03:00	2017-03-13T00:00:00+03:00	25000.0	5	False	1	False	37.0	9.0	21.0	40.0	10.0	2	2	Россия, Санкт-Петербург, Пискарёвский проспект, 12к1	665343139034260991
9069199666282280250	2015-02-14T00:00:00+03:00	2018-06-05T00:00:00+03:00	16000000.0	3	False	5	False	179.0	18.1	118.6			1	2	Россия, Санкт-Петербург, Спасский переулок, 4	7690708525044753190
5473442	2016-01-25T00:00:00+03:00	2016-10-30T00:00:00+03:00	9500000.0	11	False	3	False	77.0	10.0	48.0		0.0	1	2	Россия, Санкт-Петербург, Бухарестская улица, 146	3947908795902790394
5028522700595480476	2015-02-12T00:00:00+03:00	2017-01-09T00:00:00+03:00	9000000.0	8	False	3	False	85.2	12.0	49.8		0.0	1	2	Россия, Санкт-Петербург, Кременчугская улица, 11к1	9078299753075953951
3376106656726790872	2016-03-31T00:00:00+03:00	2017-05-28T00:00:00+03:00	120000.0	3	False	2	False	80.0	30.0	36.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Морской проспект, 24	7313362257532056842
4842857800060070599	2015-08-11T00:00:00+03:00	2016-04-18T00:00:00+03:00	4650000.0	13	False	2	False	50.0	8.0	27.5		0.0	1	2	Россия, Санкт-Петербург, Белградская улица, 8к1	2715451431478566271
8254661696702995851	2015-09-03T00:00:00+03:00	2018-05-14T00:00:00+03:00	126230000.0	7	False	5	False	303.0	34.0			0.0	1	2	Россия, Санкт-Петербург, Вязовая улица, 8	7789315785929563997
1213099	2015-02-04T00:00:00+03:00	2016-02-21T00:00:00+03:00	5730000.0	13	False	3	False	87.6	10.44	56.51		0.0	1	2	Россия, Санкт-Петербург, Парашютная улица, 56к3	6957418200792267849
3607353125886642432	2017-01-20T00:00:00+03:00	2017-01-23T00:00:00+03:00	25000.0	2	False	1	False	39.0	10.0	16.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Загородный проспект, 12	3567988545862627406
6220517231487334657	2018-08-15T00:00:00+03:00	2018-08-20T00:00:00+03:00	17000.0	5	False	1	False	34.0	8.0	17.0	90.0		2	2	Россия, Санкт-Петербург, Октябрьская набережная, 124к4	4742923692073187811
5359179375555163137	2017-09-20T00:00:00+03:00	2017-09-26T00:00:00+03:00	15000.0	5	False	2	False	44.0	6.0	27.0		3.0	2	2	Россия, Санкт-Петербург, улица Тамбасова, 8к1	7070383653757981895
1183141732405691649	2016-08-08T00:00:00+03:00	2016-11-07T00:00:00+03:00	5300000.0	8	False	2	False	55.3	8.4	31.3		3.0	1	2	Россия, Санкт-Петербург, Приморский район, Школьная улица, 104к2	7809140335362769827
5153004142454986733	2017-07-10T00:00:00+03:00	2018-08-20T00:00:00+03:00	10850000.0	3	False	2	False	79.0	9.5	49.0		10.0	1	2	Россия, Санкт-Петербург, улица Решетникова, 9	3681722472370178158
5152264856293942564	2018-03-18T00:00:00+03:00	2018-07-16T00:00:00+03:00	20000.0	2	False	2	False	48.0	7.0	30.0	100.0		2	2	Россия, Санкт-Петербург, бульвар Новаторов, 82	6371358093780935638
3376106656866981370	2017-05-23T00:00:00+03:00	2017-05-31T00:00:00+03:00	50000.0	3	False	2	False	50.0	12.0	28.0	100.0	0.0	2	2	Россия, Санкт-Петербург, улица Рубинштейна, 15-17	5176824821946974531
2871589855623997185	2016-09-06T00:00:00+03:00	2018-08-20T00:00:00+03:00	1800000.0	2	False	0	True	26.2		19.3		10.0	1	2	Россия, Ленинградская область, Всеволожск, Степной проспект, 16к1	6706314870092204050
165864435101785026	2018-04-29T00:00:00+03:00	2018-06-07T00:00:00+03:00	25000.0	20	False	2	False	52.0	22.0	20.0	50.0		2	2	Россия, Санкт-Петербург, проспект Обуховской Обороны, 138к2	3083028653280224776
5867283855237787537	2016-07-01T00:00:00+03:00	2017-04-10T00:00:00+03:00	3937720.0	13	False	1	False	47.7	14.2	18.08		0.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 14к5	7076615050583062322
3795693	2015-09-01T00:00:00+03:00	2018-03-31T00:00:00+03:00	4800000.0	8	False	3	False	57.0	6.0	37.0		3.0	1	2	Россия, Санкт-Петербург, улица Шостаковича, 5к1	3533386831077549454
6184707344370083290	2014-12-04T00:00:00+03:00	2016-06-21T00:00:00+03:00	8800000.0	2	False	3	False	80.0	18.0	41.0		0.0	1	2	Россия, Санкт-Петербург, Зверинская улица, 36	8919012887375277236
6897709845014480896	2017-11-16T00:00:00+03:00	2018-02-06T00:00:00+03:00	4700000.0	4	False	1	False	45.0	13.4	20.0		2.0	1	2	Россия, Санкт-Петербург, проспект Большевиков, 7к2	6967020089089321100
9175300442260260864	2016-08-18T00:00:00+03:00	2016-10-03T00:00:00+03:00	30000.0	1	False	1	False	50.0	25.0	25.0	100.0	10.0	2	2	Россия, Санкт-Петербург, 12-я Красноармейская улица, 21	7885046543711711264
